variable,x,y
bio8,-76.54079971313476,3.7831959787126833E-13
bio8,-76.4177686126709,4.0878411766698087E-13
bio8,-76.29473751220702,4.3924863746269694E-13
bio8,-76.17170641174316,4.745148718399151E-13
bio8,-76.0486753112793,5.097811062171331E-13
bio8,-75.92564421081542,5.505873534872331E-13
bio8,-75.80261311035156,5.913936007573284E-13
bio8,-75.6795820098877,6.386002837643874E-13
bio8,-75.55655090942382,6.858069667714517E-13
bio8,-75.43351980895996,7.403799795469013E-13
bio8,-75.3104887084961,7.949529923223509E-13
bio8,-75.18745760803222,8.580303134664326E-13
bio8,-75.06442650756836,9.211076346105074E-13
bio8,-74.94139540710448,9.939937761771532E-13
bio8,-74.81836430664062,1.0668799177437905E-12
bio8,-74.69533320617676,1.1510403741254955E-12
bio8,-74.57230210571288,1.2352008305072105E-12
bio8,-74.44927100524902,1.3323397940467884E-12
bio8,-74.32623990478515,1.4294787575863666E-12
bio8,-74.20320880432128,1.541577976382775E-12
bio8,-74.08017770385742,1.6536771951791707E-12
bio8,-73.95714660339355,1.782968217511886E-12
bio8,-73.83411550292968,1.9122592398446157E-12
bio8,-73.71108440246581,2.0613288853610356E-12
bio8,-73.58805330200195,2.2103985308774554E-12
bio8,-73.46502220153808,2.382183339477716E-12
bio8,-73.34199110107421,2.553968148077956E-12
bio8,-73.21896000061035,2.7518598511022556E-12
bio8,-73.09592890014648,2.9497515541265784E-12
bio8,-72.97289779968261,3.1776581366216305E-12
bio8,-72.84986669921875,3.4055647191166825E-12
bio8,-72.72683559875487,3.667877113144883E-12
bio8,-72.60380449829101,3.930189507173054E-12
bio8,-72.48077339782714,4.232014738647667E-12
bio8,-72.35774229736327,4.533839970122244E-12
bio8,-72.23471119689941,4.8809678521166485E-12
bio8,-72.11168009643553,5.2280957341110934E-12
bio8,-71.98864899597167,5.627170951427729E-12
bio8,-71.86561789550781,6.0262461687443645E-12
bio8,-71.74258679504393,6.484862646871673E-12
bio8,-71.61955569458007,6.943479124998931E-12
bio8,-71.49652459411621,7.470291052413782E-12
bio8,-71.37349349365233,7.997102979828696E-12
bio8,-71.25046239318847,8.602024648141082E-12
bio8,-71.12743129272461,9.206946316453468E-12
bio8,-71.00440019226073,9.901279796054082E-12
bio8,-70.88136909179687,1.0595613275654614E-11
bio8,-70.75833799133301,1.1392248255859225E-11
bio8,-70.63530689086913,1.218888323606393E-11
bio8,-70.51227579040527,1.310251906971871E-11
bio8,-70.3892446899414,1.401615490337349E-11
bio8,-70.26621358947753,1.5063539304804926E-11
bio8,-70.14318248901367,1.6110923706236234E-11
bio8,-70.0201513885498,1.7311169164813054E-11
bio8,-69.89712028808593,1.851141462339001E-11
bio8,-69.77408918762207,1.9886264857049695E-11
bio8,-69.6510580871582,2.1261115090709382E-11
bio8,-69.52802698669433,2.2835294766210357E-11
bio8,-69.40499588623047,2.4409474441711154E-11
bio8,-69.2819647857666,2.6211266490605458E-11
bio8,-69.15893368530273,2.801305853949998E-11
bio8,-69.03590258483887,3.007448179381799E-11
bio8,-68.91287148437499,3.213590504813624E-11
bio8,-68.78984038391113,3.449343588535214E-11
bio8,-68.66680928344726,3.6850966722568046E-11
