variable,x,y
bio9,-63.39804306030273,4.440892098500626E-15
bio9,-63.17889505615234,5.440092820663267E-15
bio9,-62.95974705200195,6.772360450213455E-15
bio9,-62.74059904785156,8.43769498715119E-15
bio9,-62.52145104370117,1.0547118733938987E-14
bio9,-62.30230303955078,1.3100631690576847E-14
bio9,-62.08315503540039,1.63202784619898E-14
bio9,-61.86400703125,2.020605904817785E-14
bio9,-61.644859027099606,2.4980018054066022E-14
bio9,-61.425711022949216,3.097522238704187E-14
bio9,-61.206563018798825,3.8413716652030416E-14
bio9,-60.987415014648434,4.7406523151494184E-14
bio9,-60.76826701049804,5.861977570020827E-14
bio9,-60.54911900634765,7.249756350802272E-14
bio9,-60.32997100219726,8.948397578478762E-14
bio9,-60.11082299804687,1.1035616864774056E-13
bio9,-59.89167499389648,1.3600232051658168E-13
bio9,-59.67252698974609,1.6753265441593612E-13
bio9,-59.453378985595705,2.0616841567289157E-13
bio9,-59.234230981445315,2.5357493882438575E-13
bio9,-59.015082977294924,3.1163960301228144E-13
bio9,-58.79593497314453,3.82804898890754E-13
bio9,-58.57678696899414,4.697353617189037E-13
bio9,-58.35763896484375,5.760947274779937E-13
bio9,-58.13849096069336,7.061018436615996E-13
bio9,-57.91934295654297,8.647527138805344E-13
bio9,-57.70019495239258,1.0582645870726992E-12
bio9,-57.48104694824219,1.2940759575030825E-12
bio9,-57.2618989440918,1.581401676276073E-12
bio9,-57.042750939941406,1.9311219290329973E-12
bio9,-56.823602935791016,2.3564483697668948E-12
bio9,-56.604454931640625,2.87347923233483E-12
bio9,-56.385306927490234,3.5014213750628187E-12
bio9,-56.16615892333984,4.263478459165526E-12
bio9,-55.94701091918945,5.1876281048635065E-12
bio9,-55.72786291503906,6.307621092105364E-12
bio9,-55.50871491088867,7.663869538987456E-12
bio9,-55.28956690673828,9.305112236290825E-12
bio9,-55.07041890258789,1.1289746915110754E-11
bio9,-54.8512708984375,1.368771762599863E-11
bio9,-54.63212289428711,1.65832902965235E-11
bio9,-54.41297489013672,2.0076940110413943E-11
bio9,-54.193826885986326,2.4289015243539325E-11
bio9,-53.974678881835935,2.936395571140338E-11
bio9,-53.755530877685544,3.5473513015915614E-11
bio9,-53.53638287353515,4.2823633528144E-11
bio9,-53.31723486938476,5.1659676536530696E-11
bio9,-53.09808686523438,6.22739637634595E-11
bio9,-52.87893886108398,7.501532728326765E-11
bio9,-52.6597908569336,9.029910152946741E-11
bio9,-52.4406428527832,1.0861844756959727E-10
bio9,-52.22149484863281,1.30560451339079E-10
bio9,-52.00234684448242,1.56822999031192E-10
bio9,-51.783198840332034,1.8823242964316478E-10
bio9,-51.564050836181636,2.2577073544027826E-10
bio9,-51.34490283203125,2.706015411746421E-10
bio9,-51.125754827880854,3.241007462406742E-10
bio9,-50.90660682373047,3.878982690608268E-10
bio9,-50.68745881958008,4.639225670288738E-10
bio9,-50.46831081542969,5.544468217877352E-10
bio9,-50.2491628112793,6.621595494138433E-10
bio9,-50.03001480712891,7.902326570885521E-10
bio9,-49.810866802978516,9.423978264422317E-10
bio9,-49.591718798828126,1.1230570917675209E-9
bio9,-49.372570794677735,1.337392752098765E-9
bio9,-49.153422790527344,1.591486942231768E-9
bio9,-48.93427478637695,1.8924981581847078E-9
bio9,-48.71512678222656,2.2488340079007685E-9
bio9,-48.49597877807617,2.6703383948500914E-9
bio9,-48.27683077392578,3.1685711832096786E-9
bio9,-48.05768276977539,3.7570782041029815E-9
bio9,-47.838534765625,4.451679913586304E-9
bio9,-47.61938676147461,5.270914371635627E-9
bio9,-47.40023875732422,6.2364509112455835E-9
bio9,-47.18109075317383,7.373540000799039E-9
bio9,-46.961942749023436,8.711698917807098E-9
bio9,-46.74279474487305,1.0285353013728127E-8
bio9,-46.523646740722654,1.2134519167261715E-8
bio9,-46.30449873657226,1.4305867601649425E-8
bio9,-46.08535073242187,1.685370421000698E-8
bio9,-45.86620272827148,1.9840999954112704E-8
bio9,-45.64705472412109,2.3341028665413432E-8
bio9,-45.4279067199707,2.743885119116385E-8
bio9,-45.20875871582031,3.223286526576885E-8
bio9,-44.989610711669926,3.783730662121343E-8
bio9,-44.77046270751953,4.438446055132772E-8
bio9,-44.551314703369144,5.202699782103082E-8
bio9,-44.332166699218746,6.094173699011662E-8
bio9,-44.11301869506836,7.133298396411192E-8
bio9,-43.893870690917964,8.343590707227122E-8
bio9,-43.67472268676758,9.752229601645013E-8
bio9,-43.45557468261718,1.1390538645628112E-7
bio9,-43.2364266784668,1.3294490486259747E-7
bio9,-43.0172786743164,1.5505558792483498E-7
bio9,-42.79813067016602,1.807143092946717E-7
bio9,-42.57898266601562,2.1046739107077883E-7
bio9,-42.359834661865236,2.4494380568285123E-7
bio9,-42.14068665771484,2.848624944817857E-7
bio9,-41.921538653564454,3.3104905128311657E-7
bio9,-41.70239064941406,3.844490663595934E-7
bio9,-41.48324264526367,4.461412856926472E-7
bio9,-41.26409464111328,5.173617410036968E-7
bio9,-41.04494663696289,5.995225933475012E-7
bio9,-40.8257986328125,6.942309482838027E-7
bio9,-40.60665062866211,8.033238714233448E-7
bio9,-40.38750262451172,9.288951900998654E-7
bio9,-40.16835462036133,1.0733217550296104E-6
bio9,-39.94920661621094,1.239314201484376E-6
bio9,-39.730058612060546,1.4299546364782145E-6
bio9,-39.51091060791016,1.648732904868666E-6
bio9,-39.291762603759764,1.8996194057763205E-6
bio9,-39.07261459960937,2.187118070651195E-6
bio9,-38.85346659545898,2.516315134926117E-6
bio9,-38.63431859130859,2.8929844120284542E-6
bio9,-38.4151705871582,3.3236592571483925E-6
bio9,-38.19602258300781,3.815698619291652E-6
bio9,-37.97687457885742,4.377437562652631E-6
bio9,-37.75772657470703,5.018282081437064E-6
bio9,-37.53857857055664,5.7488032325636595E-6
bio9,-37.319430566406254,6.580942226719344E-6
bio9,-37.100282562255856,7.528144578827778E-6
bio9,-36.88113455810547,8.605478797107935E-6
bio9,-36.661986553955074,9.829928785620723E-6
bio9,-36.44283854980469,1.122057165048318E-5
bio9,-36.22369054565429,1.2798726856999565E-5
bio9,-36.00454254150391,1.4588371413992718E-5
bio9,-35.78539453735351,1.66163663379848E-5
bio9,-35.56624653320313,1.8912656742031686E-5
bio9,-35.34709852905273,2.1510832084459253E-5
bio9,-35.127950524902346,2.4448434487567283E-5
bio9,-34.90880252075195,2.776720248220954E-5
bio9,-34.689654516601564,3.151384225930087E-5
bio9,-34.470506512451166,3.574042784748599E-5
bio9,-34.25135850830078,4.0504688513465226E-5
bio9,-34.03221050415039,4.587108560372144E-5
bio9,-33.8130625,5.191128730075434E-5
bio9,-33.59391449584961,5.8704546972876415E-5
bio9,-33.37476649169922,6.633913289988413E-5
bio9,-33.15561848754883,7.491293217753991E-5
bio9,-32.93647048339844,8.453390910290182E-5
bio9,-32.71732247924805,9.532199328532442E-5
bio9,-32.498174475097656,1.0740986181190237E-4
bio9,-32.279026470947265,1.2094343401258811E-4
bio9,-32.059878466796874,1.360843889415264E-4
bio9,-31.840730462646484,1.5301101666409522E-4
bio9,-31.621582458496093,1.7191939696203917E-4
bio9,-31.402434454345702,1.9302539294585586E-4
bio9,-31.18328645019531,2.1656695753335953E-4
bio9,-30.96413844604492,2.4280499201267958E-4
bio9,-30.74499044189453,2.7202587807551026E-4
bio9,-30.52584243774414,3.045445482712239E-4
bio9,-30.306694433593748,3.4070530091412365E-4
bio9,-30.087546429443364,3.808850597124547E-4
bio9,-29.868398425292973,4.254972154740244E-4
bio9,-29.649250421142575,4.7499247011728585E-4
bio9,-29.430102416992185,5.298627656884491E-4
bio9,-29.210954412841794,5.906462902203202E-4
bio9,-28.99180640869141,6.57928001601249E-4
bio9,-28.77265840454102,7.323448662646115E-4
bio9,-28.55351040039062,8.145914180204272E-4
bio9,-28.33436239624023,9.054208057932556E-4
bio9,-28.115214392089847,0.0010056501487269998
bio9,-27.896066387939456,0.001116168568842113
bio9,-27.676918383789065,0.0012379367835819721
bio9,-27.457770379638667,0.0013719944981858134
bio9,-27.238622375488276,0.0015194695442914963
bio9,-27.019474371337893,0.0016815769486129284
bio9,-26.800326367187502,0.0018596271984279156
bio9,-26.58117836303711,0.00205503823235631
bio9,-26.362030358886713,0.0022693320643156767
bio9,-26.14288235473633,0.00250414595939219
bio9,-25.92373435058594,0.002761245472356677
bio9,-25.704586346435548,0.003042519325390458
bio9,-25.485438342285157,0.0033499959390610456
bio9,-25.266290338134766,0.0036858434323221445
bio9,-25.047142333984375,0.004052391741424799
bio9,-24.827994329833984,0.004452121444046497
bio9,-24.608846325683594,0.004887678194791079
bio9,-24.389698321533203,0.005361896473914385
bio9,-24.170550317382812,0.005877780262380838
bio9,-23.95140231323242,0.006438524462282658
bio9,-23.73225430908203,0.0070475367829203606
bio9,-23.51310630493164,0.007708417717367411
bio9,-23.293958300781256,0.008424978703260422
bio9,-23.074810296630858,0.009201270528137684
bio9,-22.855662292480467,0.01004155445843935
bio9,-22.636514288330076,0.010950322262942791
bio9,-22.417366284179685,0.011932329274713993
bio9,-22.1982182800293,0.012992553412914276
bio9,-21.979070275878904,0.014136215671896935
bio9,-21.759922271728513,0.01536882296204567
bio9,-21.540774267578122,0.016696106642484665
bio9,-21.32162626342774,0.0181240476667881
bio9,-21.102478259277348,0.019658928737044334
bio9,-20.88333025512695,0.021307239308953285
bio9,-20.66418225097656,0.023075727745890617
bio9,-20.445034246826175,0.024971429258584976
bio9,-20.225886242675784,0.027001574635505676
bio9,-20.006738238525394,0.029173625633120537
bio9,-19.787590234374996,0.03149532154202461
bio9,-19.568442230224605,0.0339745469391346
bio9,-19.34929422607422,0.036619383841753006
bio9,-19.13014622192383,0.039438147097826004
bio9,-18.91099821777344,0.04243924841284752
bio9,-18.69185021362304,0.04563121125102043
bio9,-18.472702209472658,0.04902275279164314
bio9,-18.253554205322267,0.05262256786227226
bio9,-18.034406201171876,0.05643939599394798
bio9,-17.815258197021485,0.06048206984996796
bio9,-17.596110192871087,0.0647592842578888
bio9,-17.376962188720704,0.06927964836359024
bio9,-17.157814184570313,0.07405176013708115
