variable,x,y
bio9,-63.39804306030273,1.1102230246251565E-16
bio9,-63.17889505615234,1.1102230246251565E-16
bio9,-62.95974705200195,2.220446049250313E-16
bio9,-62.74059904785156,2.220446049250313E-16
bio9,-62.52145104370117,3.3306690738754696E-16
bio9,-62.30230303955078,3.3306690738754696E-16
bio9,-62.08315503540039,4.440892098500626E-16
bio9,-61.86400703125,5.551115123125783E-16
bio9,-61.644859027099606,7.771561172376096E-16
bio9,-61.425711022949216,8.881784197001252E-16
bio9,-61.206563018798825,1.2212453270876722E-15
bio9,-60.987415014648434,1.4432899320127035E-15
bio9,-60.76826701049804,1.887379141862766E-15
bio9,-60.54911900634765,2.3314683517128287E-15
bio9,-60.32997100219726,2.9976021664879227E-15
bio9,-60.11082299804687,3.774758283725532E-15
bio9,-59.89167499389648,4.773959005888173E-15
bio9,-59.67252698974609,5.995204332975845E-15
bio9,-59.453378985595705,7.549516567451064E-15
bio9,-59.234230981445315,9.547918011776346E-15
bio9,-59.015082977294924,1.199040866595169E-14
bio9,-58.79593497314453,1.509903313490213E-14
bio9,-58.57678696899414,1.887379141862766E-14
bio9,-58.35763896484375,2.3647750424515834E-14
bio9,-58.13849096069336,2.964295475749168E-14
bio9,-57.91934295654297,3.708144902248023E-14
bio9,-57.70019495239258,4.6407322429331543E-14
bio9,-57.48104694824219,5.806466418789569E-14
bio9,-57.2618989440918,7.249756350802272E-14
bio9,-57.042750939941406,9.048317650695026E-14
bio9,-56.823602935791016,1.127986593019159E-13
bio9,-56.604454931640625,1.4055423491754482E-13
bio9,-56.385306927490234,1.7497114868092467E-13
bio9,-56.16615892333984,2.1760371282653068E-13
bio9,-55.94701091918945,2.7056135110115065E-13
bio9,-55.72786291503906,3.3595348725157237E-13
bio9,-55.50871491088867,4.168887457467463E-13
bio9,-55.28956690673828,5.170308625679354E-13
bio9,-55.07041890258789,6.405986852087153E-13
bio9,-54.8512708984375,7.930323064897493E-13
bio9,-54.63212289428711,9.809930645587883E-13
bio9,-54.41297489013672,1.212585587495596E-12
bio9,-54.193826885986326,1.4975798379168737E-12
bio9,-53.974678881835935,1.848188269093498E-12
bio9,-53.755530877685544,2.278954802648059E-12
bio9,-53.53638287353515,2.807976073881946E-12
bio9,-53.31723486938476,3.457123476380275E-12
bio9,-53.09808686523438,4.252820318129125E-12
bio9,-52.87893886108398,5.2274851114475496E-12
bio9,-52.6597908569336,6.420530773709743E-12
bio9,-52.4406428527832,7.879585872672124E-12
bio9,-52.22149484863281,9.662493027917662E-12
bio9,-52.00234684448242,1.1839529356905132E-11
bio9,-51.783198840332034,1.4495404876413431E-11
