variable,x,y
bio9,-63.39804306030273,0.0
bio9,-63.17889505615234,0.0
bio9,-62.95974705200195,0.0
bio9,-62.74059904785156,0.0
bio9,-62.52145104370117,0.0
bio9,-62.30230303955078,0.0
bio9,-62.08315503540039,0.0
bio9,-61.86400703125,1.1102230246251565E-16
bio9,-61.644859027099606,1.1102230246251565E-16
bio9,-61.425711022949216,1.1102230246251565E-16
bio9,-61.206563018798825,1.1102230246251565E-16
bio9,-60.987415014648434,1.1102230246251565E-16
bio9,-60.76826701049804,2.220446049250313E-16
bio9,-60.54911900634765,2.220446049250313E-16
bio9,-60.32997100219726,3.3306690738754696E-16
bio9,-60.11082299804687,4.440892098500626E-16
bio9,-59.89167499389648,5.551115123125783E-16
bio9,-59.67252698974609,6.661338147750939E-16
bio9,-59.453378985595705,8.881784197001252E-16
bio9,-59.234230981445315,1.1102230246251565E-15
bio9,-59.015082977294924,1.4432899320127035E-15
bio9,-58.79593497314453,1.7763568394002505E-15
bio9,-58.57678696899414,2.3314683517128287E-15
bio9,-58.35763896484375,2.886579864025407E-15
bio9,-58.13849096069336,3.6637359812630166E-15
bio9,-57.91934295654297,4.6629367034256575E-15
bio9,-57.70019495239258,5.88418203051333E-15
bio9,-57.48104694824219,7.438494264988549E-15
bio9,-57.2618989440918,9.43689570931383E-15
bio9,-57.042750939941406,1.1879386363489175E-14
bio9,-56.823602935791016,1.4988010832439613E-14
bio9,-56.604454931640625,1.887379141862766E-14
bio9,-56.385306927490234,2.375877272697835E-14
bio9,-56.16615892333984,2.9976021664879227E-14
bio9,-55.94701091918945,3.7636560534792807E-14
bio9,-55.72786291503906,4.729550084903167E-14
bio9,-55.50871491088867,5.939693181744587E-14
bio9,-55.28956690673828,7.4495964952348E-14
bio9,-55.07041890258789,9.336975637097567E-14
bio9,-54.8512708984375,1.1690648449302898E-13
bio9,-54.63212289428711,1.4621637234313312E-13
bio9,-54.41297489013672,1.8285373215576328E-13
bio9,-54.193826885986326,2.283728761653947E-13
bio9,-53.974678881835935,2.851052727237402E-13
bio9,-53.755530877685544,3.554934124849751E-13
bio9,-53.53638287353515,4.4297898682543746E-13
bio9,-53.31723486938476,5.515587986337778E-13
bio9,-53.09808686523438,6.861178292183467E-13
bio9,-52.87893886108398,8.528733275170453E-13
bio9,-52.6597908569336,1.0591527654923993E-12
bio9,-52.4406428527832,1.3143930388537228E-12
bio9,-52.22149484863281,1.6296963778472673E-12
bio9,-52.00234684448242,2.0190515925833097E-12
bio9,-51.783198840332034,2.4993340730361524E-12
bio9,-51.564050836181636,3.0911939674638234E-12
bio9,-51.34490283203125,3.820166405432701E-12
bio9,-51.125754827880854,4.717115587027365E-12
bio9,-50.90660682373047,5.819900117387533E-12
bio9,-50.68745881958008,7.174594252035149E-12
bio9,-50.46831081542969,8.837153231411321E-12
bio9,-50.2491628112793,1.0876077816135421E-11
bio9,-50.03001480712891,1.337441268844941E-11
bio9,-49.810866802978516,1.6432966098989255E-11
bio9,-49.591718798828126,2.017430666967357E-11
bio9,-49.372570794677735,2.4747093263499664E-11
bio9,-49.153422790527344,3.0331182010456814E-11
bio9,-48.93427478637695,3.71446207125814E-11
bio9,-48.71512678222656,4.5451087338221896E-11
bio9,-48.49597877807617,5.556910487314326E-11
bio9,-48.27683077392578,6.788336559537811E-11
bio9,-48.05768276977539,8.285816477382468E-11
bio9,-47.838534765625,1.0105261072368421E-10
bio9,-47.61938676147461,1.2314038677629924E-10
bio9,-47.40023875732422,1.499326218734609E-10
bio9,-47.18109075317383,1.8240275956316054E-10
bio9,-46.961942749023436,2.2172164104716785E-10
bio9,-46.74279474487305,2.6929425356314596E-10
bio9,-46.523646740722654,3.268028070380069E-10
bio9,-46.30449873657226,3.9626502079670445E-10
bio9,-46.08535073242187,4.800961850293106E-10
bio9,-45.86620272827148,5.811795489307769E-10
bio9,-45.64705472412109,7.029649085055212E-10
bio9,-45.4279067199707,8.495706360633903E-10
bio9,-45.20875871582031,1.0259000315926414E-9
bio9,-44.989610711669926,1.2378036373661416E-9
bio9,-44.77046270751953,1.4922478808188089E-9
bio9,-44.551314703369144,1.797504256551008E-9
bio9,-44.332166699218746,2.163415890876763E-9
bio9,-44.11301869506836,2.60167265508926E-9
bio9,-43.893870690917964,3.126115144524988E-9
bio9,-43.67472268676758,3.75317199541314E-9
bio9,-43.45557468261718,4.502300310349483E-9
bio9,-43.2364266784668,5.396475266650214E-9
bio9,-43.0172786743164,6.4628946638833895E-9
