variable,x,y
bio8,-76.54079971313476,0.0
bio8,-76.29473751220702,0.0
bio8,-76.0486753112793,0.0
bio8,-75.80261311035156,0.0
bio8,-75.55655090942382,0.0
bio8,-75.3104887084961,0.0
bio8,-75.06442650756836,0.0
bio8,-74.81836430664062,1.1102230246251565E-16
bio8,-74.57230210571288,1.1102230246251565E-16
bio8,-74.32623990478515,1.1102230246251565E-16
bio8,-74.08017770385742,1.1102230246251565E-16
bio8,-73.83411550292968,1.1102230246251565E-16
bio8,-73.58805330200195,2.220446049250313E-16
bio8,-73.34199110107421,2.220446049250313E-16
bio8,-73.09592890014648,2.220446049250313E-16
bio8,-72.84986669921875,3.3306690738754696E-16
bio8,-72.60380449829101,4.440892098500626E-16
bio8,-72.35774229736327,5.551115123125783E-16
bio8,-72.11168009643553,6.661338147750939E-16
bio8,-71.86561789550781,7.771561172376096E-16
bio8,-71.61955569458007,9.992007221626409E-16
bio8,-71.37349349365233,1.2212453270876722E-15
bio8,-71.12743129272461,1.4432899320127035E-15
bio8,-70.88136909179687,1.7763568394002505E-15
bio8,-70.63530689086913,2.220446049250313E-15
bio8,-70.3892446899414,2.7755575615628914E-15
bio8,-70.14318248901367,3.3306690738754696E-15
bio8,-69.89712028808593,4.107825191113079E-15
bio8,-69.6510580871582,5.10702591327572E-15
bio8,-69.40499588623047,6.217248937900877E-15
bio8,-69.15893368530273,7.66053886991358E-15
bio8,-68.91287148437499,9.43689570931383E-15
bio8,-68.66680928344726,1.1546319456101628E-14
bio8,-68.42074708251953,1.4210854715202004E-14
bio8,-68.17468488159179,1.7430501486614958E-14
bio8,-67.92862268066406,2.1316282072803006E-14
bio8,-67.68256047973632,2.609024107869118E-14
bio8,-67.43649827880859,3.186340080674199E-14
bio8,-67.19043607788086,3.8968828164342995E-14
bio8,-66.94437387695312,4.75175454539567E-14
bio8,-66.69831167602538,5.795364188543317E-14
bio8,-66.45224947509764,7.072120666862247E-14
bio8,-66.20618727416992,8.626432901337466E-14
bio8,-65.96012507324218,1.0502709812953981E-13
bio8,-65.71406287231444,1.2778667013435552E-13
bio8,-65.46800067138672,1.5554224574998443E-13
bio8,-65.22193847045898,1.8907098109366416E-13
