variable,x,y
bio8,-76.54079971313476,3.985700658404312E-14
bio8,-76.29473751220702,4.7628567756419216E-14
bio8,-76.0486753112793,5.6843418860808015E-14
bio8,-75.80261311035156,6.783462680459706E-14
bio8,-75.55655090942382,8.08242361927114E-14
bio8,-75.3104887084961,9.625633623500107E-14
bio8,-75.06442650756836,1.1468603844377867E-13
bio8,-74.81836430664062,1.3655743202889425E-13
bio8,-74.57230210571288,1.624256285026604E-13
bio8,-74.32623990478515,1.9306778398231472E-13
bio8,-74.08017770385742,2.2948309919001986E-13
bio8,-73.83411550292968,2.7267077484793845E-13
bio8,-73.58805330200195,3.2363001167823313E-13
bio8,-73.34199110107421,3.8413716652030416E-13
bio8,-73.09592890014648,4.555245070037017E-13
bio8,-72.84986669921875,5.401235014801387E-13
bio8,-72.60380449829101,6.399325513939402E-13
bio8,-72.35774229736327,7.579492589115944E-13
bio8,-72.11168009643553,8.97171226199589E-13
bio8,-71.86561789550781,1.0614842338441122E-12
bio8,-71.61955569458007,1.255218151641202E-12
bio8,-71.37349349365233,1.4835910278065967E-12
bio8,-71.12743129272461,1.7525980666732721E-12
bio8,-70.88136909179687,2.0694557179012918E-12
bio8,-70.63530689086913,2.4422686095704194E-12
bio8,-70.3892446899414,2.8809177265998187E-12
bio8,-70.14318248901367,3.3965052992357414E-12
bio8,-69.89712028808593,4.002465026076152E-12
bio8,-69.6510580871582,4.714117984860877E-12
bio8,-69.40499588623047,5.5495608108913075E-12
bio8,-69.15893368530273,6.529776719332858E-12
bio8,-68.91287148437499,7.679301639029745E-12
bio8,-68.66680928344726,9.026668301714835E-12
bio8,-68.42074708251953,1.060507237582442E-11
bio8,-68.17468488159179,1.2453260644917918E-11
bio8,-67.92862268066406,1.461630816379511E-11
bio8,-67.68256047973632,1.7146284392310918E-11
bio8,-67.43649827880859,2.0104251596819722E-11
bio8,-67.19043607788086,2.3560708939385222E-11
bio8,-66.94437387695312,2.7597590879224754E-11
bio8,-66.69831167602538,3.230993250724623E-11
bio8,-66.45224947509764,3.7808089992097393E-11
bio8,-66.20618727416992,4.421962795930767E-11
bio8,-65.96012507324218,5.1692317093454676E-11
bio8,-65.71406287231444,6.039779787414545E-11
bio8,-65.46800067138672,7.053413408897313E-11
bio8,-65.22193847045898,8.233036474791788E-11
bio8,-64.97587626953124,9.60512780423528E-11
bio8,-64.72981406860352,1.1200274041556213E-10
bio8,-64.48375186767578,1.3053802483398158E-10
bio8,-64.23768966674804,1.5206447212534613E-10
bio8,-63.99162746582031,1.7705170662907221E-10
bio8,-63.745565264892576,2.0604207229268923E-10
bio8,-63.49950306396484,2.396586262776168E-10
bio8,-63.253440863037106,2.7862112617071944E-10
bio8,-63.007378662109375,3.237556889246207E-10
bio8,-62.761316461181636,3.7601255442609727E-10
bio8,-62.5152542602539,4.36486513599732E-10
bio8,-62.269192059326166,5.064327845971661E-10
bio8,-62.023129858398434,5.872936581496901E-10
bio8,-61.777067657470695,6.807229224747857E-10
bio8,-61.531005456542964,7.886221675690308E-10
bio8,-61.28494325561523,9.131667644268759E-10
bio8,-61.038881054687494,1.0568510511177465E-9
bio8,-60.79281885375976,1.2225284118372315E-9
bio8,-60.54675665283203,1.4134735604187654E-9
bio8,-60.30069445190429,1.6334239516524462E-9
bio8,-60.05463225097655,1.8866517237370317E-9
bio8,-59.80857005004883,2.178050850787372E-9
bio8,-59.56250784912109,2.5131989822568812E-9
bio8,-59.31644564819335,2.898465911727044E-9
bio8,-59.07038344726562,3.3411129418681185E-9
bio8,-58.82432124633789,3.8494403220568074E-9
bio8,-58.57825904541015,4.432885614136239E-9
bio8,-58.33219684448242,5.102206657170427E-9
bio8,-58.086134643554686,5.869635000266271E-9
bio8,-57.84007244262695,6.749127479110939E-9
bio8,-57.59401024169921,7.756516318124795E-9
bio8,-57.347948040771485,8.90980800249963E-9
bio8,-57.101885839843746,1.0229432412245387E-8
bio8,-56.85582363891601,1.1738651828352431E-8
bio8,-56.60976143798828,1.3463792747359093E-8
bio8,-56.363699237060544,1.5434700628702558E-8
bio8,-56.117637036132805,1.768530211165853E-8
bio8,-55.871574835205074,2.0253928312286007E-8
bio8,-55.62551263427734,2.3184012931665166E-8
bio8,-55.379450433349604,2.6524643814695992E-8
bio8,-55.133388232421865,3.0331502642866326E-8
bio8,-54.88732603149414,3.466736586688057E-8
bio8,-54.6412638305664,3.960320071882961E-8
bio8,-54.39520162963867,4.521904273246946E-8
bio8,-54.14913942871094,5.160548610660953E-8
bio8,-53.9030772277832,5.8864426222271504E-8
bio8,-53.65701502685546,6.711067612741317E-8
bio8,-53.41095282592773,7.647398092558433E-8
bio8,-53.164890625,8.71000338520389E-8
bio8,-52.91882842407226,9.915291343531862E-8
bio8,-52.67276622314453,1.1281694156650701E-7
bio8,-52.426704022216796,1.2829995910124126E-7
bio8,-52.18064182128906,1.4583483221031202E-7
bio8,-51.934579620361326,1.6568323246701766E-7
bio8,-51.688517419433595,1.8813842928011582E-7
bio8,-51.442455218505856,2.1353046975036705E-7
bio8,-51.19639301757812,2.422281966119044E-7
bio8,-50.950330816650386,2.7464471941129887E-7
bio8,-50.704268615722654,3.1124415045269416E-7
bio8,-50.458206414794915,3.525442764384934E-7
bio8,-50.212144213867184,3.9912472971082025E-7
