variable,x,y
bio9,-63.39804306030273,2.5279929261046163E-8
bio9,-63.17889505615234,2.840029011963452E-8
bio9,-62.95974705200195,3.189375874512734E-8
bio9,-62.74059904785156,3.580349883236522E-8
bio9,-62.52145104370117,4.017750399043507E-8
bio9,-62.30230303955078,4.506884465627081E-8
bio9,-62.08315503540039,5.053668417076551E-8
bio9,-61.86400703125,5.6646726420694904E-8
bio9,-61.644859027099606,6.34715178193801E-8
bio9,-61.425711022949216,7.109184707587701E-8
bio9,-61.206563018798825,7.9597313629165E-8
bio9,-60.987415014648434,8.908673265750622E-8
bio9,-60.76826701049804,9.967001091126804E-8
bio9,-60.54911900634765,1.1146889988822295E-7
bio9,-60.32997100219726,1.2461747189718153E-7
bio9,-60.11082299804687,1.392646709064138E-7
bio9,-59.89167499389648,1.5557533572518878E-7
bio9,-59.67252698974609,1.7373066896197997E-7
bio9,-59.453378985595705,1.939318536869905E-7
bio9,-59.234230981445315,2.16401105035402E-7
bio9,-59.015082977294924,2.4138250864780275E-7
bio9,-58.79593497314453,2.6914668183053436E-7
bio9,-58.57678696899414,2.999921662194538E-7
bio9,-58.35763896484375,3.34246493594037E-7
bio9,-58.13849096069336,3.722722112797783E-7
bio9,-57.91934295654297,4.1446904219810676E-7
bio9,-57.70019495239258,4.6127465225254127E-7
bio9,-57.48104694824219,5.131731768415193E-7
bio9,-57.2618989440918,5.706974661734421E-7
bio9,-57.042750939941406,6.344304779304366E-7
bio9,-56.823602935791016,7.050159638311015E-7
bio9,-56.604454931640625,7.831618518139294E-7
bio9,-56.385306927490234,8.696413260622649E-7
bio9,-56.16615892333984,9.653075494497898E-7
bio9,-55.94701091918945,1.071097017302236E-6
bio9,-55.72786291503906,1.1880316606038832E-6
bio9,-55.50871491088867,1.3172375474823639E-6
bio9,-55.28956690673828,1.4599494306821725E-6
bio9,-55.07041890258789,1.6175122254935559E-6
bio9,-54.8512708984375,1.7914068166646757E-6
bio9,-54.63212289428711,1.9832546058751177E-6
bio9,-54.41297489013672,2.1948194444121327E-6
