variable,x,y
bio9,-63.39804306030273,0.0
bio9,-63.17889505615234,0.0
bio9,-62.95974705200195,0.0
bio9,-62.74059904785156,1.1102230246251565E-16
bio9,-62.52145104370117,1.1102230246251565E-16
bio9,-62.30230303955078,1.1102230246251565E-16
bio9,-62.08315503540039,1.1102230246251565E-16
bio9,-61.86400703125,1.1102230246251565E-16
bio9,-61.644859027099606,2.220446049250313E-16
bio9,-61.425711022949216,2.220446049250313E-16
bio9,-61.206563018798825,3.3306690738754696E-16
bio9,-60.987415014648434,4.440892098500626E-16
bio9,-60.76826701049804,5.551115123125783E-16
bio9,-60.54911900634765,6.661338147750939E-16
bio9,-60.32997100219726,8.881784197001252E-16
bio9,-60.11082299804687,1.1102230246251565E-15
bio9,-59.89167499389648,1.3322676295501878E-15
bio9,-59.67252698974609,1.7763568394002505E-15
bio9,-59.453378985595705,2.220446049250313E-15
bio9,-59.234230981445315,2.7755575615628914E-15
bio9,-59.015082977294924,3.552713678800501E-15
bio9,-58.79593497314453,4.551914400963142E-15
bio9,-58.57678696899414,5.662137425588298E-15
bio9,-58.35763896484375,7.216449660063518E-15
bio9,-58.13849096069336,9.103828801926284E-15
bio9,-57.91934295654297,1.1435297153639112E-14
bio9,-57.70019495239258,1.4432899320127035E-14
bio9,-57.48104694824219,1.8207657603852567E-14
bio9,-57.2618989440918,2.2870594307278225E-14
bio9,-57.042750939941406,2.8754776337791554E-14
bio9,-56.823602935791016,3.6193270602780103E-14
bio9,-56.604454931640625,4.54081217071689E-14
bio9,-56.385306927490234,5.695444116327053E-14
bio9,-56.16615892333984,7.138734048339757E-14
bio9,-55.94701091918945,8.93729534823251E-14
bio9,-55.72786291503906,1.1179945857975326E-13
bio9,-55.50871491088867,1.397770788003072E-13
bio9,-55.28956690673828,1.7463808177353712E-13
bio9,-55.07041890258789,2.1793677973391823E-13
bio9,-54.8512708984375,2.717825964282383E-13
bio9,-54.63212289428711,3.3861802251067274E-13
bio9,-54.41297489013672,4.2155168245017194E-13
bio9,-54.193826885986326,5.24469356832924E-13
bio9,-53.974678881835935,6.519229600598919E-13
bio9,-53.755530877685544,8.095746295566641E-13
bio9,-53.53638287353515,1.0046408149833042E-12
bio9,-53.31723486938476,1.2457812559318882E-12
bio9,-53.09808686523438,1.5434320488338926E-12
bio9,-52.87893886108398,1.910582803077432E-12
bio9,-52.6597908569336,2.3632207302171082E-12
bio9,-52.4406428527832,2.9206637108813993E-12
bio9,-52.22149484863281,3.606559495494821E-12
bio9,-52.00234684448242,4.4499959273025524E-12
bio9,-51.783198840332034,5.4862780984876736E-12
bio9,-51.564050836181636,6.758149595498253E-12
bio9,-51.34490283203125,8.318234989701523E-12
bio9,-51.125754827880854,1.022992801580358E-11
bio9,-50.90660682373047,1.257072224092326E-11
bio9,-50.68745881958008,1.5434653555246314E-11
bio9,-50.46831081542969,1.8935297774191895E-11
bio9,-50.2491628112793,2.3210988686628298E-11
bio9,-50.03001480712891,2.842892588006407E-11
bio9,-49.810866802978516,3.479139198958592E-11
bio9,-49.591718798828126,4.2542747102913836E-11
bio9,-49.372570794677735,5.197886565611043E-11
bio9,-49.153422790527344,6.345557412856806E-11
bio9,-48.93427478637695,7.740297292002651E-11
bio9,-48.71512678222656,9.433898107147343E-11
bio9,-48.49597877807617,1.1488632267742105E-10
bio9,-48.27683077392578,1.3979417623488644E-10
bio9,-48.05768276977539,1.6996370977295783E-10
bio9,-47.838534765625,2.0647439313847826E-10
bio9,-47.61938676147461,2.5062285580190746E-10
bio9,-47.40023875732422,3.0396307693081326E-10
bio9,-47.18109075317383,3.683529037346034E-10
bio9,-46.961942749023436,4.460173341769291E-10
bio9,-46.74279474487305,5.396164626247923E-10
bio9,-46.523646740722654,6.523214191034299E-10
bio9,-46.30449873657226,7.879208396843751E-10
bio9,-46.08535073242187,9.509316667433154E-10
bio9,-45.86620272827148,1.1467243821172701E-9
bio9,-45.64705472412109,1.3816982002978762E-9
bio9,-45.4279067199707,1.6634630339851242E-9
bio9,-45.20875871582031,2.0010415546778404E-9
bio9,-44.989610711669926,2.405157628615484E-9
bio9,-44.77046270751953,2.888529193612044E-9
bio9,-44.551314703369144,3.466195108714487E-9
bio9,-44.332166699218746,4.15598222502922E-9
bio9,-44.11301869506836,4.978977230507553E-9
bio9,-43.893870690917964,5.960046234321226E-9
bio9,-43.67472268676758,7.128588386251522E-9
bio9,-43.45557468261718,8.519286609498522E-9
bio9,-43.2364266784668,1.0172928277540905E-8
