variable,x,y
bio8,-76.54079971313476,2.55351295663786E-15
bio8,-76.29473751220702,3.1086244689504383E-15
bio8,-76.0486753112793,3.774758283725532E-15
bio8,-75.80261311035156,4.551914400963142E-15
bio8,-75.55655090942382,5.551115123125783E-15
bio8,-75.3104887084961,6.661338147750939E-15
bio8,-75.06442650756836,8.104628079763643E-15
bio8,-74.81836430664062,9.769962616701378E-15
bio8,-74.57230210571288,1.1879386363489175E-14
bio8,-74.32623990478515,1.432187701766452E-14
bio8,-74.08017770385742,1.7319479184152442E-14
bio8,-73.83411550292968,2.0872192862952943E-14
bio8,-73.58805330200195,2.5202062658991053E-14
bio8,-73.34199110107421,3.0309088572266774E-14
bio8,-73.09592890014648,3.652633751016765E-14
bio8,-72.84986669921875,4.4075854077618715E-14
bio8,-72.60380449829101,5.306866057708248E-14
bio8,-72.35774229736327,6.38378239159465E-14
bio8,-72.11168009643553,7.671641100159832E-14
bio8,-71.86561789550781,9.225953334635051E-14
bio8,-71.61955569458007,1.1080025785759062E-13
bio8,-71.37349349365233,1.3300471835009375E-13
bio8,-71.12743129272461,1.59539048638635E-13
bio8,-70.88136909179687,1.91402449445377E-13
bio8,-70.63530689086913,2.2937207688755734E-13
bio8,-70.3892446899414,2.7478019859472624E-13
bio8,-70.14318248901367,3.289590821964339E-13
bio8,-69.89712028808593,3.93574062229618E-13
bio8,-69.6510580871582,4.706235401386039E-13
bio8,-69.40499588623047,5.625500065775668E-13
bio8,-69.15893368530273,6.720179968056073E-13
bio8,-68.91287148437499,8.022471575941381E-13
bio8,-68.66680928344726,9.573453141342725E-13
bio8,-68.42074708251953,1.141753358524511E-12
bio8,-68.17468488159179,1.3608003612830544E-12
bio8,-67.92862268066406,1.6211476605576536E-12
bio8,-67.68256047973632,1.9301227283108346E-12
bio8,-67.43649827880859,2.296829393344524E-12
bio8,-67.19043607788086,2.731592729787735E-12
bio8,-66.94437387695312,3.2468472355162703E-12
bio8,-66.69831167602538,3.857247854455181E-12
bio8,-66.45224947509764,4.579892021183696E-12
bio8,-66.20618727416992,5.434874772447529E-12
bio8,-65.96012507324218,6.445843858671196E-12
